q_num,eng_word,jp_word,eng_example,jp_example
1,part,"[動] ばらばらになる, 分かれる",,
2,run,"[動] (店や会社)を経営[運営]する;走る, 急ぐ",,
3,systematic,"[形]体系的な, 組織的な;規律正しい",,
4,department,"[名]学部, 部門;<D->省",,
5,communal,"[形]自治体の, 共同社会の; 共同の",,
6,projection,"[名]案, 計画; 予測; 投影(図)",,
7,treat,"[動]〜を扱う, 待遇する",,
8,methodical,[形] 順序立った; (人が)きちんとした,,
9,associate,"[動] 付き合う, 交際する; 提携する",,
10,figure,"[名] <複>数(値); 図, 表",,
11,govern,[動] 〜を統治する; 管理[運営]する,,
12,majority,"[名]過半数, 多数(票)",,
13,opportune,[形]好都合の; 適切な,,
14,measure,"[名]<複>豊作, 手段; 処置; <単>(評価・判断の)基準",,
15,application,"[名]応用; 出願, 申込; 願書, 申請書",,
16,subject,"[形]〜を必要とする, 条件とする;  〜にさらされている, 〜を受けやすい",,
17,master,"[動]〜を習得する, 身につける",,
18,medical,[形]医療の,,
19,nationality,"[名]国籍; <複>民族, 国民",,
20,degree,"[名] 学位, 称号; 等級; （測定単位としての)度",,
21,conditioning,"[名](体調などの)調整, 調節; 条件付け; (動物などの)調教",,
22,mass,"[動] 集結する, 集合する",,
23,address,"[動] 〜に演説する, 話をする; (問題など)に取り組む",,
24,factor,"[名]要因, 要素; 因数",,
25,societal,[形]<限定用法のみ>社会に関する,,
26,link,[名]関連,,
27,particular,"[形]えり好みをする; 特有の, 特定の",,
28,party,"[名]政党, 党(派); 一行, 一味; 会合; (契約・訴訟などの)当事者, 関係者",,
29,career,"[名]職業, 仕事; 経歴, 履歴",,
30,unofficial,"[形]非公式的な, 私的な",,
31,foundation,"[名]根拠, よりどころ",,
32,contract,"[名]契約, 請負；契約書",,
33,contentment,"[名]充実感, 満足; 安堵",,
34,role,[名]役割,,
35,due,"[形](生まれる)予定で; (到着する)予定で; (宿題・本・負債の)期日になる; 当然の, 当然与えられるべき",,
36,element,"[名]要素; 元祖; <the -s>(学問の)原理, 基礎",,
37,prize,[名]賞; 貴重なもの,,
38,principle,"[名]信条, 行動指針; 道理; 原理, 原則; しくみ;",,
39,selective,"[形]慎重に選ぶ, えり好みする",,
40,document,[動]〜を詳細に記録する;〜を文書で証明する,,
41,legality,"[名]合法性, 適法性",,
